date,value
1960,343000000
1961,307070650
1962,289024970
1963,210030680
1964,228053520
1965,239053520
1966,215353490
1967,112359200
1968,121194900
1969,132459200
1970,223498270
1971,431942650.768961
1972,390711738.557593
1973,622853179.452631
1974,5708969927.07708
1975,5665692312.30902
1976,5256784369.24904
1977,4335987601.42271
1978,2028808603.51189
1979,5899642026.01849
1980,10639786873.239
1981,4168449635.50454
1982,1926433779.02942
1983,1251986799.03879
1984,1674113904.67394
1985,1891868244.28822
1986,1349903027.04366
1987,1497832058.99218
1988,932989776.537121
1989,2041078373.82711
1990,4128789618.08766
1991,4678023330.16922
1992,1196052750.4125
1993,1640443738.8763
1994,1649172399.19862
1995,1709113521.06349
1996,4329391828.01769
1997,7781250308.62295
1998,7298545693.37429
1999,5649725440.52047
2000,10099448197.5379
2001,10646598366.0477
2002,7566806239.09119
2003,7415087386.00119
2004,17256543969.1635
2005,28632051717.2055
2006,42735039033.3081
2007,51906164585.6826
2008,53598093556.5368
2009,43129830238.1048
2010,33305051215.6973
2011,33691784435.7376
2012,44973806131.6587
2013,43675023637.5804
2014,35070259874.4871
2015,29011450144.31
2016,28020197619.3379
2017,40499220796.3652
2018,43719362674.791
2019,39382191478.7729
2020,38028751517.615
2021,41727503547.2316
2022,36809762970.197
2023,33452495121.7329
2024,40405994024.7986
2025,46024916767.4055
