date,population
1960,45053782.0
1961,45989310.0
1962,46965292.0
1963,47973575.0
1964,49012016.0
1965,50086764.0
1966,51188234.0
1967,52293065.0
1968,53432783.0
1969,54631914.0
1970,55893838.0
1971,57214684.0
1972,58601748.0
1973,60082139.0
1974,61679144.0
1975,63410815.0
1976,65258009.0
1977,67234590.0
1978,69326532.0
1979,71498242.0
1980,73764641.0
1981,76068103.0
1982,78378701.0
1983,80438260.0
1984,82526443.0
1985,84897973.0
1986,87235953.0
1987,89591716.0
1988,92020090.0
1989,94531014.0
1990,97120925.0
1991,99720162.0
1992,102372770.0
1993,105122069.0
1994,107935714.0
1995,110819428.0
1996,113754779.0
1997,116754792.0
1998,119846254.0
1999,123047320.0
2000,126382494.0
2001,129862595.0
2002,133471989.0
2003,137202644.0
2004,141057045.0
2005,145017253.0
2006,149077334.0
2007,153267261.0
2008,157595014.0
2009,162049464.0
2010,166642886.0
2011,171379598.0
2012,176200625.0
2013,181049443.0
2014,185896915.0
2015,190671878.0
2016,195443700.0
2017,200254579.0
2018,204938755.0
2019,209485641.0
2020,213996181.0
2021,218529286.0
2022,223150896.0
2023,227882945.0
2024,232679478.0
