date,gdp_per_capita
1960,93.1370090424417
1961,97.1375281143562
1962,104.532495533943
1963,107.675741358944
1964,113.297345671875
1965,117.287226824734
1966,124.382440176253
1967,99.5014906604697
1968,97.3372081255964
1969,121.436663307697
1970,224.46293599595
1971,160.479255841113
1972,209.454776294345
1973,252.369032452868
1974,402.836999782685
1975,438.078813916795
1976,556.389687719878
1977,535.965307817329
1978,526.895852928476
1979,660.994040864293
1980,870.359934682057
1981,2162.20995436075
1982,1821.53265482387
1983,1207.07374565349
1984,890.434106332302
1985,868.640540548893
1986,628.248453718536
1987,587.956613434089
1988,539.539468397166
1989,465.488089532188
1990,556.376449130902
1991,596.938795710722
1992,508.515905682785
1993,539.573202297542
1994,744.884247151377
1995,1271.61617353199
1996,1632.72469370276
1997,1720.27540949396
1998,1822.46998452473
1999,480.669363941805
2000,547.318298903379
2001,566.428231812933
2002,712.164852077686
2003,763.388745367223
2004,962.48104194733
2005,1211.37703504386
2006,1599.53891556365
2007,1815.52697545827
2008,2154.10543545364
2009,1820.48633854782
2010,2202.25672957344
2011,2418.41316975875
2012,2633.19734671361
2013,2872.79083379398
2014,3088.72131316169
2015,2585.73360671797
2016,2070.4127339595
2017,1876.34027111773
2018,2057.87944554011
2019,3189.81286498516
2020,2797.18458068686
2021,2787.48779224428
2022,2899.16047470324
2023,2138.76383719983
2024,1084.16041805436
